job_id,market,init,turnover,runtime,final_value,total_return,sharpe,volatility,max_drawdown,status
378,NYSE,10000,0.001,3:06,16684.72,66.847195,0.559952,1.182166,35.186370,unknown
379,NYSE,10000,0.01,3:04,16489.26,64.892597,0.539155,1.216211,36.572245,unknown
380,NYSE,10000,0.05,3:07,16500.95,65.009498,0.538942,1.219169,36.696769,unknown
381,NYSE,10000,0.1,3:06,16497.84,64.978373,0.538777,1.219164,36.695932,unknown
382,NYSE,100000,0.001,3:07,166847.20,66.847195,0.559952,1.182166,35.186370,unknown
383,NYSE,100000,0.01,3:02,164892.60,64.892597,0.539155,1.216211,36.572245,unknown
384,NYSE,100000,0.05,3:04,165009.50,65.009498,0.538942,1.219169,36.696769,unknown
385,NYSE,100000,0.1,3:07,164978.37,64.978373,0.538777,1.219164,36.695932,unknown
386,NYSE,1000000,0.001,3:03,1668471.95,66.847195,0.559952,1.182166,35.186370,unknown
387,NYSE,1000000,0.01,3:10,1648925.97,64.892597,0.539155,1.216211,36.572245,unknown
388,NYSE,1000000,0.05,3:05,1650094.98,65.009498,0.538942,1.219169,36.696769,unknown
389,NYSE,1000000,0.1,3:05,1649783.73,64.978373,0.538777,1.219164,36.695932,unknown
390,NYSE,10000000,0.001,3:09,16684719.54,66.847195,0.559952,1.182166,35.186370,unknown
391,NYSE,10000000,0.01,3:05,16489259.72,64.892597,0.539155,1.216211,36.572245,unknown
392,NYSE,10000000,0.05,3:09,16500949.80,65.009498,0.538942,1.219169,36.696769,unknown
393,NYSE,10000000,0.1,3:08,16497837.29,64.978373,0.538777,1.219164,36.695932,unknown
