job_id,market,init,turnover,runtime,final_value,total_return,sharpe,volatility,max_drawdown,status
74120,NYSE,10000,0.001,3:21,16709.36,67.093644,0.561294,1.182167,35.184620,completed
74121,NYSE,10000,0.01,3:25,16698.98,66.989773,0.550330,1.216226,36.546148,completed
74122,NYSE,10000,0.05,3:21,16745.29,67.452877,0.551904,1.219193,36.654871,completed
74123,NYSE,10000,0.1,3:18,16742.22,67.422189,0.551744,1.219188,36.653984,completed
74124,NYSE,100000,0.001,3:23,167093.64,67.093644,0.561294,1.182167,35.184620,completed
74125,NYSE,100000,0.01,3:25,166989.77,66.989773,0.550330,1.216226,36.546148,completed
74126,NYSE,100000,0.05,3:22,167452.88,67.452877,0.551904,1.219193,36.654871,completed
74127,NYSE,100000,0.1,3:25,167422.19,67.422189,0.551744,1.219188,36.653984,completed
74128,NYSE,1000000,0.001,3:17,1670936.44,67.093644,0.561294,1.182167,35.184620,completed
74129,NYSE,1000000,0.01,3:18,1669897.73,66.989773,0.550330,1.216226,36.546148,completed
74130,NYSE,1000000,0.05,3:23,1674528.77,67.452877,0.551904,1.219193,36.654871,completed
74131,NYSE,1000000,0.1,3:19,1674221.89,67.422189,0.551744,1.219188,36.653984,completed
74132,NYSE,10000000,0.001,3:17,16709364.38,67.093644,0.561294,1.182167,35.184620,completed
74133,NYSE,10000000,0.01,3:19,16698977.26,66.989773,0.550330,1.216226,36.546148,completed
74134,NYSE,10000000,0.05,3:21,16745287.70,67.452877,0.551904,1.219193,36.654871,completed
74135,NYSE,10000000,0.1,3:17,16742218.93,67.422189,0.551744,1.219188,36.653984,completed
