job_id,market,init,turnover,runtime,final_value,total_return,sharpe,volatility,max_drawdown,status
684,PSE,10000,0.001,2:51,9268.48,-7.315161,-0.418330,0.192771,7.315161,completed
685,PSE,10000,0.01,2:50,9268.48,-7.315161,-0.418330,0.192771,7.315161,completed
686,PSE,10000,0.05,2:51,9268.48,-7.315161,-0.418330,0.192771,7.315161,completed
687,PSE,10000,0.1,2:52,9268.48,-7.315161,-0.418330,0.192771,7.315161,completed
688,PSE,100000,0.001,2:50,97183.46,-2.816542,-0.943157,0.033299,2.816542,completed
689,PSE,100000,0.01,2:50,96300.23,-3.699769,-1.229531,0.033723,3.699769,completed
690,PSE,100000,0.05,2:48,92967.92,-7.032081,-1.108701,0.072134,8.023617,completed
691,PSE,100000,0.1,2:54,86320.78,-13.679216,-1.093797,0.146441,13.930198,completed
692,PSE,1000000,0.001,2:45,931439.08,-6.856092,-0.850869,0.091242,9.681130,completed
693,PSE,1000000,0.01,2:49,891052.79,-10.894721,-0.649140,0.191391,17.511564,completed
694,PSE,1000000,0.05,2:49,876343.96,-12.365604,-0.073191,0.966335,32.895241,completed
695,PSE,1000000,0.1,2:49,725444.07,-27.455593,-0.265198,1.019716,34.723753,completed
696,PSE,10000000,0.001,2:47,8857562.05,-11.424379,-0.244294,0.473102,29.961030,completed
697,PSE,10000000,0.01,2:46,9950772.16,-0.492278,0.079839,1.060701,34.704745,completed
698,PSE,10000000,0.05,2:48,9942134.81,-0.578652,0.080051,1.072708,35.137807,completed
699,PSE,10000000,0.1,2:47,9951397.96,-0.486020,0.081013,1.072765,35.135703,completed
