job_id,market,init,turnover,runtime,final_value,total_return,sharpe,volatility,max_drawdown,status
74136,PSE,10000,0.001,3:00,9567.39,-4.326124,0.037807,1.051175,34.333948,completed
74137,PSE,10000,0.01,3:03,10147.38,1.473812,0.101088,1.074109,35.114409,completed
74138,PSE,10000,0.05,3:00,10387.77,3.877656,0.125352,1.078159,35.156493,completed
74139,PSE,10000,0.1,3:02,10399.98,3.999810,0.126559,1.078306,35.156493,completed
74140,PSE,100000,0.001,2:56,95673.88,-4.326124,0.037807,1.051175,34.333948,completed
74141,PSE,100000,0.01,2:57,101473.81,1.473812,0.101088,1.074109,35.114409,completed
74142,PSE,100000,0.05,2:57,103877.66,3.877656,0.125352,1.078159,35.156493,completed
74143,PSE,100000,0.1,3:05,103999.81,3.999810,0.126559,1.078306,35.156493,completed
74144,PSE,1000000,0.001,3:03,956738.76,-4.326124,0.037807,1.051175,34.333948,completed
74145,PSE,1000000,0.01,2:59,1014738.12,1.473812,0.101088,1.074109,35.114409,completed
74146,PSE,1000000,0.05,3:00,1038776.56,3.877656,0.125352,1.078159,35.156493,completed
74147,PSE,1000000,0.1,2:58,1039998.10,3.999810,0.126559,1.078306,35.156493,completed
74148,PSE,10000000,0.001,3:02,9567387.55,-4.326124,0.037807,1.051175,34.333948,completed
74149,PSE,10000000,0.01,3:02,10147381.15,1.473812,0.101088,1.074109,35.114409,completed
74150,PSE,10000000,0.05,2:58,10387765.59,3.877656,0.125352,1.078159,35.156493,completed
74151,PSE,10000000,0.1,3:00,10399981.04,3.999810,0.126559,1.078306,35.156493,completed
