2026/05/08 17:10:40 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/summary_runs.csv: Copied (new)
2026/05/08 17:10:44 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/summary_runs.csv: Copied (new)
2026/05/08 17:10:46 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74120.err: Copied (new)
2026/05/08 17:10:46 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74120.out: Copied (new)
2026/05/08 17:10:46 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74122.err: Copied (new)
2026/05/08 17:10:46 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74121.err: Copied (new)
2026/05/08 17:10:46 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74123.err: Copied (new)
2026/05/08 17:10:46 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74122.out: Copied (new)
2026/05/08 17:10:46 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74121.out: Copied (new)
2026/05/08 17:10:47 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74123.out: Copied (new)
2026/05/08 17:10:48 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74124.err: Copied (new)
2026/05/08 17:10:48 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74125.out: Copied (new)
2026/05/08 17:10:48 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74124.out: Copied (new)
2026/05/08 17:10:49 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74126.out: Copied (new)
2026/05/08 17:10:49 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74125.err: Copied (new)
2026/05/08 17:10:49 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74126.err: Copied (new)
2026/05/08 17:10:49 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74127.err: Copied (new)
2026/05/08 17:10:49 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74127.out: Copied (new)
2026/05/08 17:10:50 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74128.err: Copied (new)
2026/05/08 17:10:51 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74128.out: Copied (new)
2026/05/08 17:10:51 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74129.err: Copied (new)
2026/05/08 17:10:51 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74130.out: Copied (new)
2026/05/08 17:10:51 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74129.out: Copied (new)
2026/05/08 17:10:51 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74130.err: Copied (new)
2026/05/08 17:10:51 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74131.err: Copied (new)
2026/05/08 17:10:51 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74131.out: Copied (new)
2026/05/08 17:10:53 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74132.err: Copied (new)
2026/05/08 17:10:53 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74132.out: Copied (new)
2026/05/08 17:10:53 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74134.err: Copied (new)
2026/05/08 17:10:54 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74133.err: Copied (new)
2026/05/08 17:10:54 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74135.out: Copied (new)
2026/05/08 17:10:54 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74133.out: Copied (new)
2026/05/08 17:10:54 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74134.out: Copied (new)
2026/05/08 17:10:54 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/slurm_logs/tm-eiie-batch-74135.err: Copied (new)
2026/05/08 17:10:59 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_231549_job74129_qj7ppkrx/all_runs_metrics.csv: Copied (new)
2026/05/08 17:11:02 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_231549_job74129_qj7ppkrx/manifest.json: Copied (new)
2026/05/08 17:11:02 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_231549_job74129_qj7ppkrx/summary.json: Copied (new)
2026/05/08 17:11:02 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_062011_job74124_5nwqr3ja/manifest.json: Copied (new)
